scheduler,benchmark,trial,time_seconds,mops_total,mops_process,task_clock_msec,context_switches,cpu_migrations,page_faults,cycles,instructions,branches,branch_misses,seconds_user,seconds_sys
EEVDF,bt.A.x,1,35.87,4691.63,1172.91,136056.4,0,0,11369,318077597118,281930050843,10072551854,36302227,133.624287,2.343105
EEVDF,bt.A.x,2,35.77,4704.43,1176.11,135881.75,0,0,11363,317521937385,280269130143,9796231226,35136226,133.671608,2.122694
EEVDF,bt.A.x,3,35.94,4682.59,1170.65,136472.98,0,0,11366,319052183513,280855052954,9895115141,35270905,133.942829,2.44546
EEVDF,bt.A.x,4,35.95,4681.42,1170.36,136498.15,0,0,11370,319020106113,282078077755,10095606858,36092413,134.188691,2.221811
EEVDF,bt.A.x,5,35.93,4684.06,1171.01,136466.31,0,0,11370,318982671333,281634578198,10021357294,35811419,134.227105,2.149137
EEVDF,bt.A.x,6,36.56,4602.82,1150.71,138841.81,0,0,11361,324556181964,282858101106,10224232333,36507989,136.633182,2.120261
EEVDF,bt.A.x,7,36.9,4561.11,1140.28,139905.45,0,0,11359,326900536909,283745282786,10370699493,37073597,137.537732,2.270934
EEVDF,bt.A.x,8,36.81,4571.9,1142.98,139655.33,0,0,11354,326371587856,282785486156,10212945000,36617051,137.488139,2.077817
EEVDF,bt.A.x,9,36.83,4569.08,1142.27,139925.23,0,0,11357,326905911973,281046370884,9920409049,35500561,137.550076,2.282735
EEVDF,bt.A.x,10,36.88,4562.68,1140.67,140030.25,0,0,11371,327324452590,284124029088,10434538527,37281077,137.746462,2.191166
